chinese,english,math,society,science,PR,H_GPA,B,B_10,B_5,B_3,B_2
30.45,48.84,85.12,37.76,66.62,80,1.782,65.33,D,D,B,A
45.06,48.84,85.12,64.4,75.28,82,2.166,59.33,E,F,F,F
30.45,65.01,85.12,64.4,75.28,75,3.684,61.67,D,D,B,A
45.06,48.84,85.12,37.76,56.84,73,3.712,95.67,A,A,A,A
61.62,56.09,85.12,37.76,82.8,49,3.916,96.67,A,A,A,A
61.62,48.84,93.81,37.76,66.62,75,1.305,64.33,D,D,B,A
45.06,41.72,85.12,78.79,66.62,75,0.125,97,A,A,A,A
45.06,23.15,65.77,52.26,45.98,36,2.647,73.33,C,C,B,A
57.9,74.55,94.18,0.01,71.01,75,3.925,82.67,B,B,A,A
74.37,57.13,87.56,80.31,71.01,96,2.657,81.33,B,B,A,A
88.28,65.06,87.56,80.31,78.15,97,4,71.67,C,C,B,A
57.9,43.55,94.18,0.01,78.15,86,2.781,84.33,B,B,A,A
88.28,84.49,94.18,66.22,84.9,93,2.166,51.67,E,F,F,F
74.37,65.06,87.56,80.31,78.15,89,3.527,40.67,F,F,F,F
57.9,57.13,87.56,0.01,78.15,84,3.351,60.5,D,D,B,A
74.37,43.55,94.18,0.01,84.9,89,0.941,81.33,B,B,A,A
74.37,74.55,87.56,66.22,91.01,84,4,72.67,C,C,B,A
74.37,84.49,87.56,80.31,71.01,96,2.703,63,D,D,B,A
18.37,57.13,94.18,0.01,71.01,86,1.054,79,C,C,B,A
28.23,37.48,94.18,36.04,71.01,83,2.21,75.33,C,C,B,A
57.9,37.48,94.18,66.22,91.01,80,3.228,63,D,D,B,A
28.23,37.48,94.18,50.7,63.74,85,2.055,64.5,D,D,B,A
74.37,49.91,87.56,50.7,78.15,87,2.4,69.67,D,D,B,A
41.87,74.55,87.56,66.22,84.9,87,3.157,73.33,C,C,B,A
28.23,49.91,100,36.04,71.01,81,0.894,58,E,F,F,F
57.9,49.91,94.18,36.04,84.9,81,1.187,88,B,B,A,A
18.37,43.55,87.56,23.94,78.15,7,3.555,79,C,C,B,A
28.23,65.06,87.56,23.94,78.15,85,1.815,57.67,E,F,F,F
41.87,25.18,94.18,23.94,78.15,85,3.305,67,D,D,B,A
41.87,65.06,87.56,36.04,71.01,85,2.972,57.67,E,F,F,F
57.9,57.13,87.56,36.04,84.9,77,2.342,39,G,F,F,F
74.37,65.06,94.18,0.01,71.01,90,1.75,54,E,F,F,F
28.23,74.55,94.18,14.85,63.74,69,1.411,25.67,H,F,F,F
57.9,37.48,87.56,50.7,91.01,92,3.472,81.33,B,B,A,A
74.37,65.06,87.56,0.01,71.01,65,3.368,69,D,D,B,A
41.87,84.49,87.56,0.01,63.74,71,3.95,80.33,B,B,A,A
41.87,57.13,94.18,3.53,71.01,56,0,81.5,B,B,A,A
57.9,37.48,87.56,50.7,78.15,75,3.026,66.67,D,D,B,A
